,0,1
0,Deffect,Company
1,Delivery,Positive
2,Delivery,Others
3,Delivery,Missing Items
4,Positive,Missing Items
5,Missing Items,Others
6,Missing Items,Delivery
7,Others,Deffect
8,Delivery,Missing Items
9,Delivery,Missing Items
10,Missing Items,Deffect
11,Delivery,Others
12,Company,Missing Items
13,Positive,Delivery
14,Positive,Company
15,Positive,Company
16,Positive,Company
17,Positive,Company
18,Positive,Company
19,Positive,Delivery
20,Positive,Company
21,Positive,Delivery
22,Positive,Company
23,Deffect,Wrong Item
24,Delivery,Wrong Item
25,Positive,Others
26,Positive,Others
27,Positive,Company
28,Positive,Others
29,Positive,Delivery
30,Positive,Company
31,Positive,Company
32,Positive,Company
33,Positive,Company
34,Wrong Item,Missing Items
35,Positive,Delivery
36,Positive,Company
37,Delivery,Positive
38,Positive,Delivery
39,Positive,Delivery
40,Delivery,Positive
41,Positive,Delivery
42,Positive,Delivery
43,Positive,Company
44,Positive,Company
45,Positive,Company
46,Delivery,Company
47,Positive,Delivery
48,Positive,Company
49,Positive,Company
50,Others,Delivery
51,Missing Items,Wrong Item
52,Deffect,Missing Items
53,Company,Delivery
54,Wrong Item,Missing Items
55,Missing Items,Deffect
56,Deffect,Wrong Item
57,Delivery,Missing Items
58,Delivery,Positive
59,Delivery,Company
60,Positive,Company
61,Deffect,Missing Items
62,Wrong Item,Missing Items
63,Missing Items,Wrong Item
64,Missing Items,Deffect
65,Missing Items,Deffect
66,Positive,Others
67,Positive,Others
68,Missing Items,Wrong Item
69,Deffect,Wrong Item
70,Delivery,Positive
71,Deffect,Wrong Item
72,Missing Items,Wrong Item
73,Positive,Others
74,Positive,Delivery
75,Positive,Others
76,Positive,Others
77,Positive,Company
78,Positive,Delivery
79,Positive,Others
80,Delivery,Positive
81,Delivery,Missing Items
82,Delivery,Positive
83,Positive,Delivery
84,Delivery,Wrong Item
85,Positive,Delivery
86,Positive,Delivery
87,Deffect,Delivery
88,Others,Delivery
89,Positive,Others
90,Positive,Others
91,Positive,Delivery
92,Delivery,Positive
93,Positive,Missing Items
94,Positive,Missing Items
95,Positive,Missing Items
96,Positive,Missing Items
97,Positive,Missing Items
98,Positive,Delivery
99,Positive,Delivery
100,Positive,Others
101,Positive,Delivery
102,Positive,Delivery
103,Company,Positive
104,Positive,Missing Items
105,Deffect,Missing Items
106,Delivery,Positive
107,Delivery,Positive
108,Delivery,Company
109,Others,Missing Items
110,Positive,Delivery
111,Deffect,Missing Items
112,Deffect,Missing Items
113,Others,Positive
114,Others,Positive
115,Others,Positive
116,Others,Positive
117,Others,Positive
118,Company,Positive
119,Positive,Missing Items
120,Positive,Delivery
121,Wrong Item,Deffect
122,Positive,Others
123,Positive,Company
124,Delivery,Positive
125,Positive,Delivery
126,Positive,Delivery
127,Positive,Others
128,Deffect,Missing Items
129,Positive,Delivery
130,Positive,Others
131,Positive,Delivery
132,Positive,Delivery
133,Positive,Delivery
134,Positive,Delivery
135,Positive,Others
136,Positive,Delivery
137,Positive,Others
138,Positive,Delivery
139,Positive,Delivery
140,Positive,Delivery
141,Company,Positive
142,Positive,Delivery
143,Positive,Delivery
144,Positive,Delivery
145,Delivery,Positive
146,Positive,Delivery
147,Positive,Delivery
148,Positive,Company
149,Positive,Delivery
150,Positive,Delivery
151,Positive,Company
152,Positive,Delivery
153,Positive,Company
154,Positive,Delivery
155,Missing Items,Others
156,Wrong Item,Others
157,Positive,Delivery
158,Wrong Item,Delivery
159,Delivery,Others
160,Delivery,Others
161,Missing Items,Wrong Item
162,Company,Positive
163,Positive,Others
164,Positive,Missing Items
165,Positive,Others
166,Positive,Delivery
167,Positive,Others
168,Positive,Others
169,Positive,Others
170,Delivery,Company
171,Deffect,Others
172,Wrong Item,Company
173,Delivery,Others
174,Missing Items,Delivery
175,Missing Items,Delivery
176,Positive,Missing Items
177,Positive,Delivery
178,Deffect,Positive
179,Positive,Delivery
180,Delivery,Positive
181,Positive,Company
182,Positive,Company
183,Positive,Delivery
184,Positive,Delivery
185,Wrong Item,Missing Items
186,Company,Delivery
187,Delivery,Positive
188,Positive,Delivery
189,Positive,Others
190,Positive,Delivery
191,Positive,Delivery
192,Positive,Company
193,Positive,Company
194,Positive,Company
195,Positive,Company
196,Positive,Delivery
197,Positive,Delivery
198,Delivery,Positive
199,Delivery,Missing Items
200,Positive,Delivery
201,Delivery,Missing Items
202,Delivery,Positive
203,Deffect,Company
204,Delivery,Positive
205,Positive,Company
206,Company,Positive
207,Company,Positive
208,Positive,Delivery
209,Company,Positive
210,Positive,Delivery
211,Positive,Company
212,Delivery,Deffect
213,Delivery,Positive
214,Positive,Delivery
215,Positive,Company
216,Delivery,Positive
217,Delivery,Positive
218,Positive,Company
219,Delivery,Positive
220,Positive,Delivery
221,Delivery,Positive
222,Positive,Delivery
223,Positive,Company
224,Delivery,Positive
225,Positive,Others
226,Delivery,Positive
227,Positive,Company
228,Positive,Company
229,Others,Positive
230,Delivery,Wrong Item
231,Positive,Missing Items
232,Missing Items,Wrong Item
233,Delivery,Positive
234,Positive,Company
235,Delivery,Positive
236,Positive,Delivery
237,Positive,Delivery
238,Positive,Company
239,Delivery,Positive
240,Delivery,Positive
241,Delivery,Positive
242,Delivery,Positive
243,Delivery,Positive
244,Delivery,Positive
245,Delivery,Positive
246,Delivery,Company
247,Positive,Delivery
248,Positive,Delivery
249,Delivery,Positive
250,Positive,Others
251,Positive,Company
252,Positive,Missing Items
253,Delivery,Positive
254,Positive,Company
255,Positive,Company
256,Delivery,Positive
257,Positive,Company
258,Positive,Company
259,Positive,Company
260,Positive,Company
261,Positive,Company
262,Positive,Company
263,Delivery,Wrong Item
264,Positive,Delivery
265,Positive,Company
266,Wrong Item,Company
267,Delivery,Positive
268,Positive,Delivery
269,Delivery,Positive
270,Delivery,Wrong Item
271,Positive,Company
272,Delivery,Company
273,Positive,Company
274,Positive,Company
275,Delivery,Missing Items
276,Delivery,Positive
277,Positive,Company
278,Wrong Item,Positive
279,Positive,Company
280,Missing Items,Delivery
281,Positive,Delivery
282,Positive,Delivery
283,Positive,Delivery
284,Positive,Delivery
285,Delivery,Positive
286,Positive,Company
287,Positive,Company
288,Delivery,Positive
289,Delivery,Positive
290,Positive,Delivery
291,Positive,Company
292,Positive,Delivery
293,Delivery,Positive
294,Delivery,Missing Items
295,Delivery,Positive
296,Positive,Company
297,Company,Positive
298,Positive,Company
299,Wrong Item,Deffect
300,Positive,Delivery
301,Positive,Delivery
302,Delivery,Positive
303,Positive,Company
304,Positive,Company
305,Positive,Delivery
306,Delivery,Positive
307,Delivery,Positive
308,Positive,Others
309,Positive,Delivery
310,Positive,Company
311,Wrong Item,Company
312,Company,Positive
