,0,1
0,Positive,Company
1,Positive,Others
2,Positive,Company
3,Positive,Company
4,Missing Items,Wrong Item
5,Wrong Item,Missing Items
6,Wrong Item,Missing Items
7,Wrong Item,Missing Items
8,Wrong Item,Deffect
9,Wrong Item,Missing Items
10,Wrong Item,Deffect
11,Wrong Item,Deffect
12,Wrong Item,Deffect
13,Wrong Item,Deffect
14,Wrong Item,Deffect
15,Wrong Item,Missing Items
16,Wrong Item,Deffect
17,Wrong Item,Missing Items
18,Wrong Item,Deffect
19,Wrong Item,Deffect
20,Wrong Item,Missing Items
21,Deffect,Wrong Item
22,Wrong Item,Deffect
23,Wrong Item,Missing Items
24,Wrong Item,Missing Items
25,Wrong Item,Deffect
26,Positive,Company
27,Wrong Item,Missing Items
28,Positive,Deffect
29,Wrong Item,Delivery
30,Positive,Company
31,Positive,Others
32,Positive,Others
33,Positive,Wrong Item
34,Positive,Delivery
35,Wrong Item,Deffect
36,Wrong Item,Deffect
37,Deffect,Missing Items
38,Wrong Item,Deffect
39,Missing Items,Wrong Item
40,Deffect,Missing Items
41,Wrong Item,Deffect
42,Wrong Item,Missing Items
43,Positive,Company
44,Wrong Item,Missing Items
45,Delivery,Missing Items
46,Delivery,Wrong Item
47,Delivery,Missing Items
48,Delivery,Missing Items
49,Delivery,Missing Items
50,Delivery,Missing Items
51,Delivery,Deffect
52,Positive,Delivery
53,Positive,Delivery
54,Positive,Delivery
55,Positive,Delivery
56,Positive,Delivery
57,Positive,Delivery
58,Positive,Delivery
59,Positive,Company
60,Delivery,Positive
61,Delivery,Missing Items
62,Delivery,Positive
63,Missing Items,Wrong Item
64,Delivery,Positive
65,Delivery,Positive
66,Positive,Delivery
67,Delivery,Wrong Item
68,Delivery,Positive
69,Delivery,Company
70,Positive,Delivery
71,Positive,Delivery
72,Positive,Delivery
73,Delivery,Positive
74,Delivery,Positive
75,Delivery,Positive
76,Positive,Delivery
77,Positive,Delivery
78,Delivery,Positive
79,Delivery,Positive
80,Positive,Delivery
81,Delivery,Positive
82,Delivery,Positive
83,Delivery,Positive
84,Delivery,Positive
85,Delivery,Positive
86,Delivery,Positive
87,Positive,Delivery
88,Delivery,Positive
89,Wrong Item,Missing Items
90,Wrong Item,Delivery
91,Delivery,Wrong Item
92,Wrong Item,Deffect
93,Wrong Item,Company
94,Delivery,Positive
95,Positive,Delivery
96,Delivery,Positive
97,Positive,Delivery
98,Positive,Delivery
