index,review_id,review_comment_title,Primary Category,Secondary Category
41007,1edd1a85161468a77e5fcb165be9b294,Ótimo,Positive,Positive
41039,352609f0f2d34ce5d3b8de817ee948d5,Não recebi o produto.,Missing Items,Missing Items
41109,a89a2b0c2014bc49a0f87f1eedb7b269,Entrega antes do previsto,Delivery,Delivery
41112,cdc5c81bd9377ccbf9cb95f05648c31b,Recomendo,Positive,Positive
41266,b50001aa0bbd7557c4ad80eee167a2a1,Ótimo ,Positive,Positive
41280,cf1917bdb6925187eb7886ad0a11e745,bom,Deffect,Deffect
41305,3814f35a6ebd64d27e2130f30ec05255,5,Positive,Positive
41316,057c9a1e8e767d8bf6fa59ac43a82435,4,Positive,Positive
41336,035cdc5e7ad5192da517cd947ed17a98,Excelente Loja,Positive,Positive
41358,d759baf5b86943cc94607ca678da40f4,ótimo,Positive,Positive
41412,bfac0c3a5b1e91f5737057394d4db682,Bom,Positive,Positive
41431,3cb733daf0cbc6a4c3bb5f733cddca7f,recomendo a todos.otima.,Positive,Positive
41436,189089fd0b77adae63b5f9def3573c9b,Excelente,Positive,Positive
41454,51f6ca3d2e468e053a903139137e91f1,Recomendo!,Positive,Positive
41469,39d9e0cd65655e7c8bc4f39a58a80e28,Ótima ,Positive,Positive
41480,9c8fa795fde24263e0ccbcbc91b8546b,Meu produto não chegou,Missing Items,Missing Items
41527,a7a8cf00f69bf0445b011c521456bc2b,Ótimo! ,Positive,Positive
41560,15686e0544ebe0a2c5c5dcbc20e84432,Bom,Positive,Positive
41591,cb6097b53f2d6ceba3c58379e39c2cf7,Muito bom,Positive,Positive
41601,46e9da729f7f714d0a3f814d95b902df,Bom,Positive,Positive
41696,aad7dc9aa6d09fba99cca76bcdb0fee3,Satisfeito!,Positive,Positive
41714,bed9227c4306d8e608366f85a31d68a3,10,Positive,Positive
41724,259885b823838218afda6bf45adbd5b4,5,Positive,Positive
41730,c05541493df4a00ecf66076ce9607aab,muito bom,Positive,Positive
41731,c5ef176ec43dd68a603dc5f05cfc93d0,Bom,Positive,Positive
41813,77d3072e4c02d54d5df675e0c25378f4,Recomendo.,Positive,Positive
41821,7c68d97afa013728a914213fb8060d46,Entrega antes do prazo,Delivery,Delivery
41849,4a58847e0bc1838c7967a8d57bd408a9,Ótimo,Positive,Positive
41865,723280632c468e6d2023317cda65438f,recomendo,Positive,Positive
41873,32b023519b2ae83c062ca52f2c6d66af,super recomendo,Positive,Positive
41937,b94e436ac0ad1bc2d1046123cea98c13,Bom,Positive,Positive
41949,9a6c566cb225db8e191342826f666121,Produto errado,Wrong Item,Wrong Item
41984,e2491f28bd9cea29d94282c7db301593,RECOMENDO,Positive,Positive
41988,f8773f92d36ed70f8c19b45ec3f6f7d6,super recomendo,Positive,Positive
42041,fe63a20bcdd925a0d7525e8830aaf8e5,SATISFEITO,Positive,Positive
42055,6c5042254180e50b5b57e155c44bed4f,OTIMA,Others,Others
42056,0cd0db486b98d5fa0d77f79ec4027c5e,Gostei muito do produto ,Positive,Positive
42064,2da010e133b77354560d386f0160c520,Bom,Positive,Positive
42079,40506badbb397b0c0d8ea9605f52a459,recomendo,Positive,Positive
42138,5c23f55fe5295590c8e0928be201e15c,Ótimo produto,Positive,Positive
42150,5a743fa8ce4174a190fcc2a57faa2188,Ótimo,Positive,Positive
42192,bad6a5d27793fde8cc5d214ea5cb1ffa,recomendo ,Positive,Positive
42215,c34fb0ed71e9425218a8971109373837,Tudo dentro do combinado,Company,Company
42216,d3c01e15504f9135511d8bf07f4e619a,Ótima ,Positive,Positive
42222,cad6624c2c3d9e69b40aee32b6e41cbe,Maravilhoso!! Super lindo,Positive,Positive
42230,c5c906335a127dc59ca8e237a678a8e8,ótimo produto,Positive,Positive
42328,c339ee2c230ba477f2f5c13b3f3aaede,Super recomendo,Positive,Positive
42441,916a5b4dc8e36144c95a816f0fb45a96,Bom e barato,Positive,Positive
42449,fe5a16fd80d21673f73b99d30eea496e,otimo,Positive,Positive
42467,aacd0c54f441a2109190ae1e88015828,SUPER RECOMENDO A LOJA,Company,Company
42468,6da00643a294aa5f73ab46b6545d2130,Gostei,Positive,Positive
42513,6d237a4b7cdda029f673cbfdd00e6824,Ótima loja ,Positive,Positive
42515,ba98b1f53fe3cc8e02cab018509a4cc9,7,Positive,Positive
